Date,AAPL,AMZN,GOOGL
2017-09-27,154.229996,950.8699949999999,959.900024
2017-09-26,153.139999,938.599976,937.429993
2017-09-25,150.550003,939.7899779999999,934.2800289999999
2017-09-22,151.889999,955.099976,943.26001
2017-09-21,153.389999,964.650024,947.5499880000001
2017-09-20,156.070007,973.2100220000001,947.5399779999999
2017-09-19,158.729996,969.8599849999999,936.8599849999999
2017-09-18,158.669998,974.1900019999999,929.75
2017-09-15,159.880005,986.7899779999999,935.2899779999999
2017-09-14,158.279999,992.2100220000001,940.1300050000001
2017-09-13,159.649994,999.599976,950.4400019999999
2017-09-12,160.860001,982.580017,946.650024
2017-09-11,161.5,977.9600220000001,943.2899779999999
2017-09-08,158.630005,965.900024,941.409973
2017-09-07,161.259995,979.4699710000001,949.8900150000001
2017-09-06,161.91000400000001,967.7999880000001,942.0200199999999
2017-09-05,162.080002,965.2700199999999,941.4799800000001
2017-09-01,164.050003,978.25,951.98999
2017-08-31,164.0,980.599976,955.23999
2017-08-30,163.350006,967.590027,943.6300050000001
2017-08-29,162.91000400000001,954.0599980000001,935.75
2017-08-28,161.470001,946.0200199999999,928.1300050000001
2017-08-25,159.860001,945.26001,930.5
2017-08-24,159.270004,952.4500119999999,936.8900150000001
2017-08-23,159.979996,958.0,942.580017
2017-08-22,159.779999,966.900024,940.400024
2017-08-21,157.21000700000002,953.2899779999999,920.8699949999999
2017-08-18,157.5,958.4699710000001,926.179993
2017-08-17,157.860001,960.570007,927.659973
2017-08-16,160.949997,978.179993,944.2700199999999
2017-08-15,161.600006,982.73999,938.080017
2017-08-14,159.850006,983.2999880000001,938.929993
2017-08-11,157.479996,967.98999,930.090027
2017-08-10,155.320007,956.919983,923.590027
2017-08-09,161.059998,982.01001,940.080017
2017-08-08,160.080002,989.840027,944.1900019999999
2017-08-07,158.809998,992.2700199999999,945.75
2017-08-04,156.389999,987.580017,945.7899779999999
2017-08-03,155.570007,986.919983,940.2999880000001
2017-08-02,157.139999,995.8900150000001,947.6400150000001
2017-08-01,150.050003,996.1900019999999,946.5599980000001
2017-07-31,148.729996,987.7800289999999,945.5
2017-07-28,149.5,1020.0399779999999,958.330017
2017-07-27,150.559998,1046.0,952.51001
2017-07-26,153.46000700000002,1052.800049,965.3099980000001
2017-07-25,152.740005,1039.869995,969.0300289999999
2017-07-24,152.08999599999999,1038.949951,998.3099980000001
2017-07-21,150.270004,1025.670044,993.840027
2017-07-20,150.33999599999999,1028.699951,992.1900019999999
2017-07-19,151.020004,1026.869995,992.7700199999999
2017-07-18,150.080002,1024.449951,986.9500119999999
2017-07-17,149.559998,1010.0399779999999,975.9600220000001
2017-07-14,149.03999299999998,1001.8099980000001,976.909973
2017-07-13,147.770004,1000.6300050000001,968.849976
2017-07-12,145.740005,1006.51001,967.659973
2017-07-11,145.529999,994.1300050000001,953.5300289999999
2017-07-10,145.059998,996.4699710000001,951.0
2017-07-07,144.179993,978.76001,940.8099980000001
2017-07-06,142.729996,965.1400150000001,927.6900019999999
2017-07-05,144.08999599999999,971.400024,932.26001
2017-07-03,143.5,953.659973,919.4600220000001
2017-06-30,144.020004,968.0,929.679993
2017-06-29,143.679993,975.929993,937.820007
2017-06-28,145.830002,990.330017,961.01001
2017-06-27,143.729996,976.7800289999999,948.090027
2017-06-26,145.820007,993.9799800000001,972.090027
2017-06-23,146.279999,1003.73999,986.090027
2017-06-22,145.630005,1001.2999880000001,976.6199949999999
2017-06-21,145.869995,1002.2299800000001,978.590027
2017-06-20,145.009995,992.590027,968.98999
2017-06-19,146.33999599999999,995.169983,975.2199710000001
2017-06-16,142.270004,987.7100220000001,958.6199949999999
2017-06-15,144.28999299999998,964.169983,960.179993
2017-06-14,145.16000400000001,976.4699710000001,967.929993
2017-06-13,146.58999599999999,980.7899779999999,970.5
2017-06-12,145.419998,964.909973,961.8099980000001
2017-06-09,148.979996,978.3099980000001,970.1199949999999
2017-06-08,154.990005,1010.2700199999999,1004.2800289999999
2017-06-07,155.369995,1010.070007,1001.5
2017-06-06,154.449997,1003.0,996.679993
2017-06-05,153.929993,1011.340027,1003.8800050000001
2017-06-02,155.449997,1006.7299800000001,996.1199949999999
2017-06-01,153.179993,995.9500119999999,988.2899779999999
2017-05-31,152.759995,994.6199949999999,987.090027
2017-05-30,153.669998,996.7000119999999,996.169983
2017-05-26,153.610001,995.7800289999999,993.2700199999999
2017-05-25,153.869995,993.3800050000001,991.8599849999999
2017-05-24,153.33999599999999,980.349976,977.6099849999999
2017-05-23,153.800003,971.5399779999999,970.5499880000001
2017-05-22,153.990005,970.669983,964.070007
2017-05-19,153.059998,959.840027,954.650024
2017-05-18,152.53999299999998,958.48999,950.5
2017-05-17,150.25,944.76001,942.169983
2017-05-16,155.470001,966.070007,964.6099849999999
2017-05-15,155.699997,957.9699710000001,959.2199710000001
2017-05-12,156.100006,961.349976,955.1400150000001
2017-05-11,153.949997,947.6199949999999,955.8900150000001
2017-05-10,153.259995,948.9500119999999,954.840027
2017-05-09,153.990005,952.820007,956.7100220000001
2017-05-08,153.009995,949.0399779999999,958.6900019999999
2017-05-05,148.96000700000002,934.150024,950.2800289999999
2017-05-04,146.529999,937.5300289999999,954.7199710000001
2017-05-03,147.059998,941.0300289999999,948.4500119999999
2017-05-02,147.509995,946.9400019999999,937.090027
2017-05-01,146.580002,948.2299800000001,932.820007
2017-04-28,143.649994,924.98999,924.5200199999999
2017-04-27,143.78999299999998,918.3800050000001,891.4400019999999
2017-04-26,143.679993,909.2899779999999,889.1400150000001
